name,series,family,description,location,region,regionLocation,regionLocationLong,regionLocationCountryCode,regionCfe,regionCo2Kwh,regionLowCo2,regionLat,regionLng,regionPublicIpv4Addr,zoneCount,zones,vCpus,sharedCpu,intel,amd,arm,cpuPlatformCount,cpuPlatform,cpuBaseClock,cpuTurboClock,cpuSingleMaxTurboClock,availableCpuPlatformCount,availableCpuPlatform,coremarkScore,standardDeviation,sampleCount,memoryGB,acceleratorCount,acceleratorType,disks,disksSizeGb,localSsd,bandwidth,tier1,sap,saps,hana,sud,spot,hour,hourSpot,month,month1yCud,month3yCud,monthSpot,monthSles,monthSlesSap,monthSlesSap1yCud,monthSlesSap3yCud,monthRhel,monthRhel1yCud,monthRhel3yCud,monthRhelSap,monthRhelSap1yCud,monthRhelSap3yCud,monthWindows
e2-micro,e2,General-purpose,"Efficient Instance, 2 vCPU (1/8 shared physical core) and 1 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",2.0,1,1.0,1.0,0.0,4.0,"AMD Rome, Intel Broadwell, Intel Haswell, Intel Skylake",2.25,2.7,3.3,3.0,"AMD Rome, Intel Broadwell, Intel Haswell",3238.0,3.57,18499.0,1.0,"","",16.0,3072.0,0.0,1.0,0.0,0.0,"",0.0,0.0,1.0,0.010956367,0.0035075,7.99814791,5.03883303,3.59916645,2.560475,80.3,124.1,50.005,44.7198,2.628,2.628,2.628,4.10625,4.10625,4.10625,8.395
e2-small,e2,General-purpose,"Efficient Instance, 2 vCPU (1/4 shared physical core) and 2 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",2.0,1,1.0,1.0,0.0,4.0,"AMD Rome, Intel Broadwell, Intel Haswell, Intel Skylake",2.25,2.7,3.3,3.0,"AMD Rome, Intel Broadwell, Intel Haswell",6745.0,4.32,18614.0,2.0,"","",16.0,3072.0,0.0,2.0,0.0,0.0,"",0.0,0.0,1.0,0.021912734,0.007015,15.99629582,10.07766606,7.1983329,5.12095,80.3,124.1,50.005,44.7198,5.256,5.256,5.256,8.2125,8.2125,8.2125,16.79
e2-standard-16,e2,General-purpose,"Efficient Instance, 16 vCPUs, 64 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",16.0,0,1.0,1.0,0.0,4.0,"AMD Rome, Intel Broadwell, Intel Haswell, Intel Skylake",2.25,2.7,3.3,3.0,"AMD Rome, Intel Broadwell, Intel Haswell",208075.0,0.83,72.0,64.0,"","",128.0,263168.0,0.0,16.0,0.0,0.0,"",0.0,0.0,1.0,0.701207488,0.22448,511.88146624,322.48531392,230.3466528,163.8704,80.3,299.3,119.939,107.748,126.144,126.144,126.144,189.8,189.8,189.8,537.28
e2-standard-2,e2,General-purpose,"Efficient Instance, 2 vCPUs, 8 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",2.0,0,1.0,1.0,0.0,4.0,"AMD Rome, Intel Broadwell, Intel Haswell, Intel Skylake",2.25,2.7,3.3,3.0,"AMD Rome, Intel Broadwell, Intel Haswell",26255.0,1.94,712.0,8.0,"","",128.0,263168.0,0.0,4.0,0.0,0.0,"",0.0,0.0,1.0,0.087650936,0.02806,63.98518328,40.31066424,28.7933316,20.4838,80.3,124.1,50.005,44.7198,21.024,21.024,21.024,32.85,32.85,32.85,67.16
e2-standard-32,e2,General-purpose,"Efficient Instance, 32 vCPUs, 128 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",32.0,0,1.0,1.0,0.0,4.0,"AMD Rome, Intel Broadwell, Intel Haswell, Intel Skylake",2.25,2.7,3.3,3.0,"AMD Rome, Intel Broadwell, Intel Haswell",417535.0,0.74,48.0,128.0,"","",128.0,524288.0,0.0,16.0,0.0,0.0,"",0.0,0.0,1.0,1.402414976,0.44896,1023.76293248,644.97062784,460.6933056,327.7408,80.3,299.3,119.939,107.748,252.288,252.288,252.288,379.6,379.6,379.6,1074.56
e2-standard-4,e2,General-purpose,"Efficient Instance, 4 vCPUs, 16 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",4.0,0,1.0,1.0,0.0,4.0,"AMD Rome, Intel Broadwell, Intel Haswell, Intel Skylake",2.25,2.7,3.3,3.0,"AMD Rome, Intel Broadwell, Intel Haswell",52043.0,0.53,464.0,16.0,"","",128.0,263168.0,0.0,8.0,0.0,0.0,"",0.0,0.0,1.0,0.175301872,0.05612,127.97036656,80.62132848,57.5866632,40.9676,80.3,248.2,100.01,89.425,42.048,42.048,42.048,65.7,65.7,65.7,134.32
e2-standard-8,e2,General-purpose,"Efficient Instance, 8 vCPUs, 32 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",8.0,0,1.0,1.0,0.0,4.0,"AMD Rome, Intel Broadwell, Intel Haswell, Intel Skylake",2.25,2.7,3.3,3.0,"AMD Rome, Intel Broadwell, Intel Haswell",103957.0,0.65,80.0,32.0,"","",128.0,263168.0,0.0,16.0,0.0,0.0,"",0.0,0.0,1.0,0.350603744,0.11224,255.94073312,161.24265696,115.1733264,81.9352,80.3,299.3,119.939,107.748,84.096,84.096,84.096,131.4,131.4,131.4,268.64
n2-highcpu-16,n2,General-purpose,"16 vCPUs 16 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",16.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",276855.0,0.71,632.0,16.0,"","",128.0,263168.0,1.0,32.0,0.0,0.0,"",0.0,1.0,1.0,0.750226976,0.135728,438.242087122496,345.02570496,246.45566208,99.08144,80.3,299.3,119.939,107.748,126.144,126.144,126.144,189.8,189.8,189.8,537.28
n2-highcpu-2,n2,General-purpose,"2 vCPUs 2 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",2.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",34740.0,0.53,3688.0,2.0,"","",128.0,263168.0,1.0,10.0,0.0,0.0,"",0.0,1.0,1.0,0.093778372,0.016966,54.780260890312,43.12821312,30.80695776,12.38518,80.3,124.1,50.005,44.7198,21.024,21.024,21.024,32.85,32.85,32.85,67.16
n2-highcpu-32,n2,General-purpose,"32 vCPUs 32 GB RAM",africa,africa-south1,Johannesburg,"Johannesburg, South Africa",ZA,16.0,646.0,0.0,-26.1714376,27.8841339,70656.0,3.0,"africa-south1-a, africa-south1-b, africa-south1-c",32.0,0,1.0,0.0,0.0,2.0,"Intel Cascade Lake, Intel Ice Lake",2.6,3.4,3.5,2.0,"Intel Cascade Lake, Intel Ice Lake",550940.0,1.6,312.0,32.0,"","",128.0,524288.0,1.0,32.0,50.0,0.0,"",0.0,1.0,1.0,1.500453952,0.271456,876.484174244992,690.05140992,492.91132416,198.16288,80.3,299.3,119.939,107.748,252.288,252.288,252.288,379.6,379.6,379.6,1074.56
